entry_id,4658,4659,4668,4681,4685,4730,4740,4745,4758,4762,4780,4792,4809,4828,4955,4964,4969,4978,4979,4991,4995,5002,5021,5024,5032,5046,5077,5078,5121,5122,5129,5130,5143,5148,5150,5152,5154,5161,weight
174,1,1,1,-1,0,1,0,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,0,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,1.0
230,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,0,-1,1,0,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,0,1,1,-1,1.0
284,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1.0
358,1,0,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1.0
381,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1.0
383,0,0,1,-1,-1,1,0,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1.0
390,1,0,-1,-1,-1,1,0,1,1,0,1,0,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1.0
392,-1,1,-1,-1,-1,1,1,1,-1,0,1,1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1.0
400,-1,-1,1,-1,-1,1,0,1,1,0,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1.0
415,-1,-1,-1,-1,1,1,0,1,-1,0,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1.0
416,1,0,1,1,1,1,0,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1.0
419,-1,-1,-1,-1,1,1,0,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1.0
422,-1,-1,-1,0,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1.0
424,1,1,-1,0,-1,-1,0,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1.0
441,1,-1,-1,-1,-1,1,0,1,1,1,1,1,0,1,-1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.5
441,1,-1,-1,-1,-1,1,0,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0.5
442,1,-1,1,-1,1,1,0,1,-1,1,1,-1,-1,1,1,1,1,1,1,0,1,-1,-1,1,0,1,1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1.0
469,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,1,1,-1,1,1,1,1,1,-1,1.0
