entry_id,4658,4659,4668,4681,4685,4730,4740,4745,4758,4762,4780,4792,4809,4828,4955,4964,4969,4978,4979,4991,4995,5002,5021,5024,5032,5046,5077,5078,5121,5122,5129,5130,5143,5148,5150,5152,5154,5161,weight
23,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,1,1,0,0,1,1,-1,0,0,1,0,0,1,-1,0,0,0,1,0,0,1,1,0,0,1,1,1.0
173,0,-1,0,0,0,1,0,-1,-1,0,1,-1,0,1,0,0,0,0,0,0,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1.0
174,1,1,1,-1,0,1,0,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,0,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,1.0
176,0,0,0,-1,1,1,0,1,-1,0,0,-1,-1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,1,1,1,1.0
178,0,0,0,0,1,1,0,0,0,-1,1,-1,0,1,1,1,0,1,0,0,1,1,1,1,1,-1,0,1,0,1,1,0,0,1,0,0,0,1,1.0
180,-1,-1,0,0,0,-1,-1,-1,0,1,1,0,0,1,-1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1.0
182,0,0,1,-1,0,1,0,-1,-1,0,1,-1,-1,1,1,1,-1,1,1,0,1,-1,0,1,-1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1.0
184,0,0,0,1,0,1,0,1,0,1,1,0,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1.0
185,0,0,1,-1,1,1,0,1,0,1,1,1,-1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0
186,0,0,-1,0,-1,1,1,1,0,1,-1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1.0
187,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,-1,1,1,0,0,0,0,1,1,0,0,0,1,1.0
