Entry ID,Entry
570,Supreme Master Ching Hai World Society
176,Qumran Movement
174,Matthew-James-Didache Movement
182,Pauline Christianity
196,Pauline Christianity (ca. 45-60 CE)
200,Nechung Cult
228,Late Chosŏn Korea
230,Religion in Mesopotamia
231,Roman private religion
217,Roman private religion
224,Old Norse Fornsed
263,Irish Catholicism
284,Yolngu religion
354,Priests and Scholars of Hellenistic Uruk
358,16th-17th c. Gauḍīya Vaiṣṇava Tradition
364,Chittagong Plain Buddhists
378,Bahinabai Chaudhari's Songs: A Performance Tradition in Maharashtra
381,Sikhism: Guru Nanak to Guru Arjan
383,Varkaris
390,Dasara
395,International Society for Krishna Consciousness (ISKCON)
400,Singaporean Mega-Churches
392,Sikhism: Guru Hargobind to Guru Gobind Singh
415,Shaiva World Renouncers
416,Edinoverie
419,The Worship of Jagannath in Puri (Odisha)
420,Swaminarayan Sampraday
422,Demeter Cult
424,Achaemenid Religion
439,Śaiva Magic
440,"Jain Digambara Tantra, Karnataka"
441,Worshipers of Śītalā
442,Donatism
455,Lan Na Buddhism
469,Won-Buddhism
470,Archaic Spartan Cults
476,Cham Bani
478,Early Indian Buddhism
472,Karma Kagyu or Kamtsang Kagyu
483,Northern Irish Roman Catholics
484,Northern Irish Protestants
485,Sámi pre-Christian religion
486,Church of Jesus Christ of Latter-day Saints (early)
490,Guglielmites
492,Roman Divination
491,Anglican Church
520,Cham Ahiér
525,Church of Jesus Christ of Latter-day Saints (modern)
526,Hmong Christianity
534,Roman Imperial Cult
576,Kuy traditional religions
580,Nāth Sampradāya
581,Mentawai (Rereiket)
586,Kelantanese Thai Religion
592,Veerashaivas
294,Xuanxue 玄學
688,Darul Uloom Deoband
690,Ahl-e-Sunnat wa Jamaat
639,Chinese Esoteric Buddhism (Tang Tantrism)
629,Newar Buddhists
714,Tamil Śaiva Bhakti
719,Hinduism in Trinidad
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period"
645,"Meo Muslim, Mev, Mewati Muslim"
726,Early Śramaṇas
727,Raglai
738,Ancient Egyptian
742,Thai Bhikkhunis
745,Buka
749,Korean shamanism
751,Buddhism in the Mekong Delta
770,Thai Forest Tradition
771,Muscular Christianity
775,Jainism
788,The Late Bronze Age City-State of Ugarit
755,Uyghur Islam
562,Medieval Śrīvaiṣṇavism
563,"Gaddi, a Hindu community of the Western Himalayas"
564,Tribal Christianity (and allied castes) in the Himalayas
607,Mohism
632,Local Religion at Selinous
633,Mādhva
646,Lakota Religious Traditions
624,The Roshaniyya
654,12th-13th c Cistercians
661,Congregation of Savigny
676,"The Order of the Holy Trinity for the Redemption of Captives, 1198-1500"
680,Gujarati Mata Worshipers
812,Temple of the Jedi Order
765,The Oneida Community
834,The Plum Village Sangha of Thich Nhat Hanh
839,19th century German Protestantism
841,Sa skya
842,American Evangelicalism
623,Diasporic American Hinduism
846,Xuanzang's Yogācāra Tradition
849,"""""""""Gaiwiio Religion,"""""""" """"""""Longhouse Religion,"""""""" or """"""""The Way of Handsome Lake"""""""" of the Seneca Tribe"
851,Sikhism in the United States
857,Wesleyanism
859,Valentinians
858,"The New Prophecy or """"""""Montanism"""""""""
867,Nyingma Treasure
870,Postsocialist Mongolian Buddhism
862,Ilm-e-Khshnoom
871,Spiritualism
879,Free Methodist Church
882,Orphism
880,Egyptian Salafism (inluding North Africa and West Asia)
884,Sub Saharan Africa Pentecostalism
883,Catholics in the People's Republic of China (PRC)
886,Pushtimarg (The Path of Grace) in the UK and Gujarat
860,Kimpa Vita
888,Céli Dé monks
893,Sethian Gnostic
896,Sannō Shintō
887,Postsocialist Mongolian Shamanism
855,Middle-Class Migrant Muslims in the UAE
892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism
899,Nahdlatul Ulama (NU)
891,Peruvian Mormons
