weighted_degree,Question index,Question Short
5.1731417425704,5,apostates punished
5.030657473658001,4,polity enforce observance
4.965522806059799,2,violent conflict outside
4.8653551574903,17,supernat. care oaths
4.787016976873101,3,proselytize
4.706025616700299,27,social norms prescribed
4.66221815873621,18,supernat. care rituals
4.612208109453399,11,afterlife belief
4.398346073520801,29,celibacy required
4.3127697028701,1,violent conflict within
4.161190482821,15,supernat. monit. prosoc.
4.1563557894393,22,supernat. punish this life
4.0456627002073,25,supernat. rewards this life
3.7856104642124,14,supreme god
3.7160015938029907,32,bodily alterations
3.68396951542094,13,human sacrifice
3.6421575957605,16,supernat. care sex
3.5785144685907,19,supernat. care conversion
3.4458874793365997,26,messianic
3.2453095263233998,36,small-scale rituals
3.2314416055708204,34,sacrifice time
3.1925235293615,35,ethical precepts
3.1865908674137393,21,supernat. punish afterlife
3.158534159754201,37,large-scale rituals
3.1511103156622005,12,reincarnation karma
2.99452930670691,9,mass gather
2.9707863475330005,8,monuments
2.962836928803,30,constraints sexual activity
2.92735206451314,24,supernat. rewards afterlife
2.8848173169164,33,sacrifice valuable goods
2.7960701324801396,20,supernat. punish enforce norms
2.7756059064508696,38,group markers
2.683094229536101,28,conventional-moral distinction
2.4217955488370007,31,food taboos
2.4063295101116995,10,pilgrimages
2.3678527655924997,23,supernat. rewards enforce norms
2.26908531898929,6,scriptures written
1.6650549977032894,7,formal inst. interpret scripture
